,Facility_City,Facility_State,Procedure_Heart_Attack_Cost,Procedure_Heart_Failure_Cost,Rating_Overall,Procedure_Pneumonia_Quality,Procedure_Pneumonia_Cost,Rating_Mortality,Rating_Safety,Rating_Readmission,Rating_Experience,Rating_Effectiveness,Rating_Timeliness,Procedure_Pneumonia_Value,Procedure_Heart_Failure_Value
2730,Price,UT,0.0,16432.0,4.0,2.0,16101.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
2731,Primghar,IA,0.0,0.0,4.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,2.0,-1.0,-1.0
2732,Prince Frederick,MD,25335.0,15945.0,4.0,2.0,16761.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0
2733,Princeton,IL,0.0,15942.0,3.0,2.0,16621.0,1.0,-1.0,1.0,2.0,1.0,1.0,2.0,2.0
2734,Princeton,IN,0.0,0.0,-1.0,2.0,17040.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,2.0,-1.0
2735,Princeton,KY,0.0,0.0,-1.0,2.0,17684.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,2.0,-1.0
2736,Princeton,MN,0.0,15585.0,4.0,2.0,16470.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
2737,Princeton,WV,22279.0,15550.0,2.0,2.0,17861.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0
2738,Prineville,OR,0.0,14011.0,4.0,2.0,16546.0,1.0,-1.0,2.0,2.0,1.0,1.0,2.0,1.0
2739,Proctorville,OH,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2740,Prosser,WA,0.0,16954.0,3.0,2.0,18217.0,1.0,-1.0,1.0,2.0,1.0,1.0,2.0,2.0
2741,Providence,RI,16260.75,12323.75,3.0,1.5,12867.5,0.75,1.0,-0.25,1.0,1.0,0.5,1.0,1.25
2742,Provo,UT,22754.0,18261.0,5.0,2.0,19360.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0
2743,Pryor,OK,0.0,17150.0,4.0,2.0,15151.0,1.0,-1.0,1.0,2.0,1.0,2.0,1.0,2.0
2744,Pueblo,CO,22236.0,15603.5,3.0,2.0,15858.5,1.0,1.0,2.0,0.5,1.0,0.5,1.5,1.5
2745,Pulaski,TN,0.0,15446.0,4.0,2.0,17400.0,1.0,-1.0,1.0,1.0,1.0,2.0,2.0,2.0
2746,Pulaski,VA,23407.0,16309.0,2.0,2.0,15924.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0
2747,Pullman,WA,0.0,0.0,4.0,2.0,15279.0,1.0,-1.0,2.0,2.0,1.0,1.0,1.0,-1.0
2748,Punta Gorda,FL,25234.0,18233.0,2.0,2.0,18176.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,3.0
2749,Punxsutawney,PA,0.0,15373.0,4.0,2.0,17664.0,1.0,-1.0,1.0,2.0,1.0,2.0,2.0,2.0
2750,Purcell,OK,0.0,13952.0,3.0,2.0,13988.0,1.0,-1.0,1.0,1.0,0.0,2.0,1.0,1.0
2751,Putnam,CT,23191.0,15570.0,3.0,2.0,17946.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0
